"","accession_name","root_weight","starch_content","height_first_branch","trial_name"
"280","VH21-0441",11.486,22.228,267.909,"2022DMF1C_dona"
"281","VH21-0442",10.537,24.169,204.922,"2022DMF1C_dona"
"282","VH21-0444",9.485,25.064,224.192,"2022DMF1C_dona"
"283","VH21-0447",11.398,28.502,284.977,"2022DMF1C_dona"
"284","VH21-0450",8.77,25.433,201.65,"2022DMF1C_dona"
"285","VH21-0451",8.551,NA,191.947,"2022DMF1C_dona"
"286","VH21-0457",6.962,NA,181.88,"2022DMF1C_dona"
"287","VH21-0459",7.053,NA,268.91,"2022DMF1C_dona"
"288","VH21-0460",10.648,24.086,217.135,"2022DMF1C_dona"
"289","VH21-0477",8.78,27.623,241.746,"2022DMF1C_dona"
"290","VH21-0480",7.078,NA,275.813,"2022DMF1C_dona"
"291","VH21-0481",8.178,23.489,227.062,"2022DMF1C_dona"
"292","VH21-0486",7.146,NA,378.502,"2022DMF1C_dona"
"293","VH21-0487",7.158,NA,178.14,"2022DMF1C_dona"
"294","VH21-0500",9.061,26.051,269.017,"2022DMF1C_dona"
"295","VH21-0501",7.678,NA,213.515,"2022DMF1C_dona"
"296","VH21-0508",9.822,20.956,190.754,"2022DMF1C_dona"
"297","VH21-0509",6.878,21.892,354.454,"2022DMF1C_dona"
"298","VH21-0518",7.499,NA,263.844,"2022DMF1C_dona"
"299","VH21-0528",9.134,25.584,170.347,"2022DMF1C_dona"
"300","VH21-0529",8.259,26.961,263.988,"2022DMF1C_dona"
"301","VH21-0531",6.104,NA,217.722,"2022DMF1C_dona"
"302","VH21-0550",6.642,NA,265.169,"2022DMF1C_dona"
"303","VH21-0563",8.296,26.971,218.723,"2022DMF1C_dona"
"304","VH21-0577",8.199,22.864,201.515,"2022DMF1C_dona"
"305","VH21-0600",6.533,NA,231.493,"2022DMF1C_dona"
"306","VH21-0628",9.146,24.738,289.138,"2022DMF1C_dona"
"307","VH21-0689",8.033,26.592,211.523,"2022DMF1C_dona"
"308","VH21-0703",8.884,24.215,175.033,"2022DMF1C_dona"
"309","VH21-0708",12.388,24.064,299.109,"2022DMF1C_dona"
"310","VH21-0729",10.472,27.446,358.093,"2022DMF1C_dona"
"311","VH21-0737",9.796,26.996,283.852,"2022DMF1C_dona"
"312","VH21-0739",9.801,23.811,165.562,"2022DMF1C_dona"
"313","VH21-0775",10.406,26.831,258.2,"2022DMF1C_dona"
"314","VH21-0779",12.191,28.339,193.702,"2022DMF1C_dona"
"315","VH21-0780",8.744,26.355,187.905,"2022DMF1C_dona"
"316","VH21-0859",5.831,NA,239.467,"2022DMF1C_dona"
"317","VH21-0893",5.928,NA,234.789,"2022DMF1C_dona"
"318","VH21-0957",6.243,NA,299.244,"2022DMF1C_dona"
"319","VH21-0992",6.08,NA,245.849,"2022DMF1C_dona"
"320","VH21-1069",7.203,NA,223.466,"2022DMF1C_dona"
"321","VH21-1087",9.169,28.66,176.085,"2022DMF1C_dona"
"322","VH21-1093",8.282,24.324,325.547,"2022DMF1C_dona"
"323","VH21-1094",7.023,NA,199.17,"2022DMF1C_dona"
"324","VH21-1129",7.602,NA,143.704,"2022DMF1C_dona"
"325","VH21-1144",7.886,22.654,244.684,"2022DMF1C_dona"
"326","VH21-1145",8.835,25.932,206.602,"2022DMF1C_dona"
"327","VH21-1086",NA,NA,273.51,"2022DMF1C_dona"
"328","VH21-1090",NA,NA,192.958,"2022DMF1C_dona"
